timestamp,src_ip,dst_ip,frame_len,latency,jitter,ipdv,packet_loss
1770722398.274381754,1.1.10.10,1.1.1.1,72,0.039562,0.000000,0.000000,0
1770722398.274431598,1.1.1.1,1.1.10.10,66,0.000050,0.039512,-0.039512,0
1770722398.747313477,1.1.10.10,1.1.2.1,72,0.039587,0.039537,0.039537,0
1770722398.747413742,1.1.2.1,1.1.10.10,66,0.000100,0.039487,-0.039487,0
1770722399.275542779,1.1.10.10,1.1.1.1,72,0.040676,0.040575,0.040575,0
1770722399.275646868,1.1.1.1,1.1.10.10,66,0.000104,0.040572,-0.040572,0
1770722399.749665603,1.1.10.10,1.1.2.1,66,0.041846,0.041742,0.041742,0
1770722399.750395018,1.1.2.1,1.1.10.10,66,0.000050,0.041796,-0.041796,0
1770722400.273511670,1.1.10.10,1.1.1.1,72,0.037657,0.037607,0.037607,0
1770722400.273566793,1.1.1.1,1.1.10.10,66,0.000055,0.037602,-0.037602,0
1770722400.709009492,1.1.10.10,1.1.2.1,66,0.000109,0.000054,0.000054,0
1770722400.750729094,1.1.2.1,1.1.10.10,66,0.000053,0.000056,-0.000056,0
1770722401.276653631,1.1.10.10,1.1.1.1,66,0.040606,0.040553,0.040553,0
1770722401.280552789,1.1.1.1,1.1.10.10,66,0.000040,0.040567,-0.040567,0
1770722401.708363618,1.1.10.10,1.1.2.1,66,0.000026,0.000014,-0.000014,0
1770722401.735136409,1.1.2.1,1.1.10.10,66,0.000063,0.000037,0.000037,0
1770722402.236469596,1.1.10.10,1.1.1.1,66,0.000027,0.000036,-0.000036,0
1770722402.259659437,1.1.1.1,1.1.10.10,66,0.000045,0.000018,0.000018,0
1770722402.737760208,1.1.10.10,1.1.2.1,72,0.029491,0.029446,0.029446,0
1770722402.737889228,1.1.2.1,1.1.10.10,66,0.000129,0.029362,-0.029362,0
1770722403.262992231,1.1.10.10,1.1.1.1,72,0.026686,0.026557,0.026557,0
1770722403.263034416,1.1.1.1,1.1.10.10,66,0.000042,0.026643,-0.026643,0
1770722403.729941558,1.1.10.10,1.1.2.1,72,0.021409,0.021367,0.021367,0
1770722403.729984132,1.1.2.1,1.1.10.10,66,0.000043,0.021366,-0.021366,0
1770722404.271771912,1.1.10.10,1.1.1.1,72,0.034456,0.034413,0.034413,0
1770722404.271877734,1.1.1.1,1.1.10.10,66,0.000106,0.034350,-0.034350,0
1770722404.751637302,1.1.10.10,1.1.2.1,66,0.041478,0.041372,0.041372,0
1770722404.753662679,1.1.2.1,1.1.10.10,66,0.000041,0.041437,-0.041437,0
1770722405.272090293,1.1.10.10,1.1.1.1,72,0.034677,0.034636,0.034636,0
1770722405.272151276,1.1.1.1,1.1.10.10,66,0.000061,0.034616,-0.034616,0
1770722405.709839470,1.1.10.10,1.1.2.1,66,0.000062,0.000001,0.000001,0
1770722405.749093805,1.1.2.1,1.1.10.10,66,0.000066,0.000004,0.000004,0
1770722406.276180509,1.1.10.10,1.1.1.1,72,0.038052,0.037986,0.037986,0
1770722406.276226734,1.1.1.1,1.1.10.10,66,0.000046,0.038006,-0.038006,0
1770722406.750518804,1.1.10.10,1.1.2.1,72,0.039879,0.039833,0.039833,0
1770722406.750592549,1.1.2.1,1.1.10.10,66,0.000074,0.039806,-0.039806,0
