timestamp,src_ip,dst_ip,frame_len,latency,jitter,ipdv,packet_loss
1770720322.853445731,1.1.10.10,1.1.2.1,66,0.000101,0.000000,0.000000,0
1770720322.895059450,1.1.2.1,1.1.10.10,66,0.000043,0.000058,-0.000058,0
1770720323.432963626,1.1.10.10,1.1.1.1,72,0.028876,0.028833,0.028833,0
1770720323.433003922,1.1.1.1,1.1.10.10,66,0.000040,0.028836,-0.028836,0
1770720323.854111950,1.1.10.10,1.1.2.1,66,0.000034,0.000006,-0.000006,0
1770720323.901980171,1.1.2.1,1.1.10.10,66,0.000044,0.000010,0.000010,0
1770720324.444671934,1.1.10.10,1.1.1.1,66,0.040533,0.040489,0.040489,0
1770720324.446267819,1.1.1.1,1.1.10.10,66,0.000045,0.040487,-0.040487,0
1770720324.854758950,1.1.10.10,1.1.2.1,66,0.000044,0.000001,-0.000001,0
1770720324.932152213,1.1.2.1,1.1.10.10,66,0.000104,0.000060,0.000060,0
1770720325.404468059,1.1.10.10,1.1.1.1,66,0.000037,0.000066,-0.000066,0
1770720325.425358586,1.1.1.1,1.1.10.10,66,0.000043,0.000005,0.000005,0
1770720325.854209450,1.1.10.10,1.1.2.1,66,0.000031,0.000011,-0.000011,0
1770720325.906458108,1.1.2.1,1.1.10.10,66,0.000041,0.000010,0.000010,0
1770720326.427298421,1.1.10.10,1.1.1.1,72,0.022063,0.022022,0.022022,0
1770720326.427352657,1.1.1.1,1.1.10.10,66,0.000054,0.022009,-0.022009,0
1770720326.855072021,1.1.10.10,1.1.2.1,66,0.000083,0.000028,0.000028,0
1770720326.874430837,1.1.2.1,1.1.10.10,66,0.000047,0.000035,-0.000035,0
1770720327.442405583,1.1.10.10,1.1.1.1,72,0.037119,0.037071,0.037071,0
1770720327.442464124,1.1.1.1,1.1.10.10,66,0.000059,0.037060,-0.037060,0
1770720327.890824135,1.1.10.10,1.1.2.1,72,0.035890,0.035832,0.035832,0
1770720327.890871148,1.1.2.1,1.1.10.10,66,0.000047,0.035843,-0.035843,0
1770720328.446721109,1.1.10.10,1.1.1.1,66,0.041610,0.041563,0.041563,0
1770720328.449923840,1.1.1.1,1.1.10.10,66,0.000049,0.041561,-0.041561,0
1770720328.890062511,1.1.10.10,1.1.2.1,72,0.035573,0.035524,0.035524,0
1770720328.890134213,1.1.2.1,1.1.10.10,66,0.000072,0.035501,-0.035501,0
1770720329.406056031,1.1.10.10,1.1.1.1,66,0.000081,0.000009,0.000009,0
1770720329.425868604,1.1.1.1,1.1.10.10,66,0.000063,0.000018,-0.000018,0
1770720329.874240143,1.1.10.10,1.1.2.1,72,0.019329,0.019266,0.019266,0
1770720329.874289724,1.1.2.1,1.1.10.10,66,0.000050,0.019279,-0.019279,0
1770720330.446666330,1.1.10.10,1.1.1.1,66,0.040859,0.040810,0.040810,0
1770720330.449602625,1.1.1.1,1.1.10.10,66,0.000042,0.040817,-0.040817,0
1770720330.896718367,1.1.10.10,1.1.2.1,66,0.040901,0.040859,0.040859,0
1770720330.905107491,1.1.2.1,1.1.10.10,66,0.000095,0.040806,-0.040806,0
1770720331.405817544,1.1.10.10,1.1.1.1,66,0.000032,0.000063,-0.000063,0
1770720331.437568786,1.1.1.1,1.1.10.10,66,0.000082,0.000050,0.000050,0
1770720331.855982882,1.1.10.10,1.1.2.1,66,0.000076,0.000006,-0.000006,0
1770720331.899561988,1.1.2.1,1.1.10.10,66,0.000066,0.000010,-0.000010,0
1770720332.446757689,1.1.10.10,1.1.1.1,66,0.040845,0.040779,0.040779,0
1770720332.453736084,1.1.1.1,1.1.10.10,66,0.000064,0.040782,-0.040782,0
1770720332.856853269,1.1.10.10,1.1.2.1,66,0.000102,0.000038,0.000038,0
1770720332.898888217,1.1.2.1,1.1.10.10,66,0.000041,0.000061,-0.000061,0
1770720333.406591881,1.1.10.10,1.1.1.1,66,0.000028,0.000013,-0.000013,0
1770720333.447232585,1.1.1.1,1.1.10.10,66,0.000085,0.000057,0.000057,0
1770720333.856912721,1.1.10.10,1.1.2.1,66,0.000029,0.000056,-0.000056,0
1770720333.904558056,1.1.2.1,1.1.10.10,66,0.000061,0.000032,0.000032,0
1770720334.406927500,1.1.10.10,1.1.1.1,66,0.000047,0.000015,-0.000015,0
1770720334.458426352,1.1.1.1,1.1.10.10,66,0.000046,0.000000,-0.000000,0
1770720334.856679575,1.1.10.10,1.1.2.1,66,0.000065,0.000018,0.000018,0
1770720334.910741075,1.1.2.1,1.1.10.10,66,0.000199,0.000134,0.000134,0
1770720335.406735040,1.1.10.10,1.1.1.1,66,0.000105,0.000094,-0.000094,0
1770720335.440716697,1.1.1.1,1.1.10.10,66,0.000045,0.000059,-0.000059,0
1770720335.856478464,1.1.10.10,1.1.2.1,66,0.000032,0.000013,-0.000013,0
1770720335.892758650,1.1.2.1,1.1.10.10,66,0.000049,0.000017,0.000017,0
1770720336.448491323,1.1.10.10,1.1.1.1,72,0.040790,0.040741,0.040741,0
1770720336.448591564,1.1.1.1,1.1.10.10,66,0.000100,0.040690,-0.040690,0
1770720336.882265700,1.1.10.10,1.1.2.1,72,0.024456,0.024356,0.024356,0
1770720336.882307689,1.1.2.1,1.1.10.10,66,0.000042,0.024414,-0.024414,0
1770720337.448705955,1.1.10.10,1.1.1.1,66,0.041627,0.041585,0.041585,0
1770720337.460154854,1.1.1.1,1.1.10.10,66,0.000045,0.041581,-0.041581,0
1770720337.890373068,1.1.10.10,1.1.2.1,72,0.032997,0.032952,0.032952,0
1770720337.890417925,1.1.2.1,1.1.10.10,66,0.000045,0.032953,-0.032953,0
1770720338.407757782,1.1.10.10,1.1.1.1,66,0.000151,0.000107,0.000107,0
1770720338.442195784,1.1.1.1,1.1.10.10,66,0.000044,0.000108,-0.000108,0
1770720338.897780373,1.1.10.10,1.1.2.1,66,0.040276,0.040233,0.040233,0
1770720338.903292327,1.1.2.1,1.1.10.10,66,0.000041,0.040235,-0.040235,0
1770720339.449709905,1.1.10.10,1.1.1.1,66,0.040963,0.040922,0.040922,0
1770720339.455115751,1.1.1.1,1.1.10.10,66,0.000183,0.040780,-0.040780,0
1770720339.858415604,1.1.10.10,1.1.2.1,66,0.000046,0.000137,-0.000137,0
1770720339.902466721,1.1.2.1,1.1.10.10,66,0.000046,0.000000,-0.000000,0
1770720340.408019305,1.1.10.10,1.1.1.1,66,0.000059,0.000014,0.000014,0
1770720340.431386334,1.1.1.1,1.1.10.10,66,0.000090,0.000031,0.000031,0
1770720340.858191747,1.1.10.10,1.1.2.1,66,0.000032,0.000058,-0.000058,0
1770720340.903637108,1.1.2.1,1.1.10.10,66,0.000054,0.000022,0.000022,0
1770720341.439252273,1.1.10.10,1.1.1.1,72,0.030601,0.030547,0.030547,0
1770720341.439304786,1.1.1.1,1.1.10.10,66,0.000053,0.030548,-0.030548,0
1770720341.859021811,1.1.10.10,1.1.2.1,66,0.000079,0.000026,0.000026,0
1770720341.880042657,1.1.2.1,1.1.10.10,66,0.000062,0.000017,-0.000017,0
1770720342.452665980,1.1.10.10,1.1.1.1,66,0.042260,0.042198,0.042198,0
1770720342.456733167,1.1.1.1,1.1.10.10,66,0.000040,0.042220,-0.042220,0
1770720342.899697220,1.1.10.10,1.1.2.1,66,0.040503,0.040463,0.040463,0
1770720342.904177275,1.1.2.1,1.1.10.10,66,0.000053,0.040450,-0.040450,0
1770720343.409109580,1.1.10.10,1.1.1.1,66,0.000056,0.000003,0.000003,0
1770720343.453531679,1.1.1.1,1.1.10.10,66,0.000047,0.000009,-0.000009,0
1770720343.859473081,1.1.10.10,1.1.2.1,66,0.000030,0.000016,-0.000016,0
1770720343.894255567,1.1.2.1,1.1.10.10,66,0.000051,0.000020,0.000020,0
1770720344.409223787,1.1.10.10,1.1.1.1,66,0.000057,0.000006,0.000006,0
1770720344.453772748,1.1.1.1,1.1.10.10,66,0.000067,0.000010,0.000010,0
1770720344.882715321,1.1.10.10,1.1.2.1,72,0.022915,0.022848,0.022848,0
1770720344.882754946,1.1.2.1,1.1.10.10,66,0.000040,0.022875,-0.022875,0
1770720345.409609047,1.1.10.10,1.1.1.1,66,0.000049,0.000010,0.000010,0
1770720345.452230965,1.1.1.1,1.1.10.10,66,0.000057,0.000008,0.000008,0
1770720345.889025375,1.1.10.10,1.1.2.1,72,0.029929,0.029871,0.029871,0
1770720345.889095094,1.1.2.1,1.1.10.10,66,0.000070,0.029859,-0.029859,0
1770720346.409836199,1.1.10.10,1.1.1.1,66,0.000027,0.000043,-0.000043,0
1770720346.449744297,1.1.1.1,1.1.10.10,66,0.000076,0.000049,0.000049,0
1770720346.893070888,1.1.10.10,1.1.2.1,72,0.033853,0.033778,0.033778,0
1770720346.893113387,1.1.2.1,1.1.10.10,66,0.000042,0.033811,-0.033811,0
1770720347.450682572,1.1.10.10,1.1.1.1,66,0.040183,0.040141,0.040141,0
1770720347.453557491,1.1.1.1,1.1.10.10,66,0.000074,0.040109,-0.040109,0
1770720347.896809836,1.1.10.10,1.1.2.1,72,0.036704,0.036630,0.036630,0
1770720347.896860718,1.1.2.1,1.1.10.10,66,0.000051,0.036653,-0.036653,0
1770720348.411315248,1.1.10.10,1.1.1.1,66,0.000031,0.000020,-0.000020,0
1770720348.451664410,1.1.1.1,1.1.10.10,66,0.000063,0.000032,0.000032,0
1770720348.901792124,1.1.10.10,1.1.2.1,66,0.041819,0.041756,0.041756,0
1770720348.919322617,1.1.2.1,1.1.10.10,66,0.000100,0.041720,-0.041720,0
1770720349.411258963,1.1.10.10,1.1.1.1,66,0.000064,0.000035,-0.000035,0
1770720349.445716605,1.1.1.1,1.1.10.10,66,0.000042,0.000022,-0.000022,0
1770720349.859832765,1.1.10.10,1.1.2.1,66,0.000054,0.000012,0.000012,0
1770720349.903717805,1.1.2.1,1.1.10.10,66,0.000044,0.000010,-0.000010,0
1770720350.450449278,1.1.10.10,1.1.1.1,72,0.039338,0.039293,0.039293,0
1770720350.450491710,1.1.1.1,1.1.10.10,66,0.000042,0.039295,-0.039295,0
1770720350.860562475,1.1.10.10,1.1.2.1,66,0.000128,0.000085,0.000085,0
1770720350.905304950,1.1.2.1,1.1.10.10,66,0.000043,0.000085,-0.000085,0
1770720351.451941942,1.1.10.10,1.1.1.1,72,0.039158,0.039115,0.039115,0
1770720351.451984136,1.1.1.1,1.1.10.10,66,0.000042,0.039116,-0.039116,0
1770720351.862569700,1.1.10.10,1.1.2.1,66,0.000089,0.000047,0.000047,0
1770720351.905618578,1.1.2.1,1.1.10.10,66,0.000058,0.000031,-0.000031,0
1770720352.452840409,1.1.10.10,1.1.1.1,66,0.040341,0.040283,0.040283,0
1770720352.457140341,1.1.1.1,1.1.10.10,66,0.000034,0.040307,-0.040307,0
1770720352.861560115,1.1.10.10,1.1.2.1,66,0.000086,0.000052,0.000052,0
1770720352.904282925,1.1.2.1,1.1.10.10,66,0.000050,0.000037,-0.000037,0
1770720353.412797019,1.1.10.10,1.1.1.1,66,0.000053,0.000003,0.000003,0
1770720353.456839213,1.1.1.1,1.1.10.10,66,0.000046,0.000007,-0.000007,0
1770720353.861933078,1.1.10.10,1.1.2.1,66,0.000089,0.000044,0.000044,0
1770720353.906659801,1.1.2.1,1.1.10.10,66,0.000055,0.000034,-0.000034,0
1770720354.413108424,1.1.10.10,1.1.1.1,66,0.000111,0.000056,0.000056,0
1770720354.457313923,1.1.1.1,1.1.10.10,66,0.000084,0.000027,-0.000027,0
1770720354.862117873,1.1.10.10,1.1.2.1,66,0.000078,0.000006,-0.000006,0
1770720354.905660307,1.1.2.1,1.1.10.10,66,0.000115,0.000038,0.000038,0
1770720355.413367388,1.1.10.10,1.1.1.1,66,0.000042,0.000073,-0.000073,0
1770720355.458008207,1.1.1.1,1.1.10.10,66,0.000043,0.000000,0.000000,0
1770720355.863522656,1.1.10.10,1.1.2.1,66,0.000143,0.000100,0.000100,0
1770720355.906067860,1.1.2.1,1.1.10.10,66,0.000047,0.000096,-0.000096,0
1770720356.412760809,1.1.10.10,1.1.1.1,66,0.000036,0.000011,-0.000011,0
1770720356.466887236,1.1.1.1,1.1.10.10,66,0.000052,0.000017,0.000017,0
1770720356.863085900,1.1.10.10,1.1.2.1,66,0.000046,0.000006,-0.000006,0
1770720356.900230833,1.1.2.1,1.1.10.10,66,0.000043,0.000004,-0.000004,0
1770720357.413794011,1.1.10.10,1.1.1.1,66,0.000053,0.000011,0.000011,0
1770720357.455026385,1.1.1.1,1.1.10.10,66,0.000042,0.000011,-0.000011,0
1770720357.899229881,1.1.10.10,1.1.2.1,72,0.036331,0.036289,0.036289,0
1770720357.899288448,1.1.2.1,1.1.10.10,66,0.000059,0.036273,-0.036273,0
1770720358.414782608,1.1.10.10,1.1.1.1,66,0.000048,0.000010,-0.000010,0
1770720358.456766043,1.1.1.1,1.1.10.10,66,0.000057,0.000008,0.000008,0
1770720358.904797468,1.1.10.10,1.1.2.1,66,0.040858,0.040801,0.040801,0
1770720358.911161388,1.1.2.1,1.1.10.10,66,0.000086,0.040772,-0.040772,0
1770720359.413885089,1.1.10.10,1.1.1.1,66,0.000112,0.000026,0.000026,0
1770720359.454345109,1.1.1.1,1.1.10.10,66,0.000042,0.000069,-0.000069,0
1770720359.863802026,1.1.10.10,1.1.2.1,66,0.000049,0.000006,0.000006,0
1770720359.890978175,1.1.2.1,1.1.10.10,66,0.000055,0.000006,0.000006,0
1770720360.414180953,1.1.10.10,1.1.1.1,66,0.000051,0.000004,-0.000004,0
1770720360.448089923,1.1.1.1,1.1.10.10,66,0.000075,0.000024,0.000024,0
1770720360.903731442,1.1.10.10,1.1.2.1,66,0.040402,0.040327,0.040327,0
1770720360.916805931,1.1.2.1,1.1.10.10,66,0.000080,0.040322,-0.040322,0
1770720361.454714669,1.1.10.10,1.1.1.1,66,0.040461,0.040381,0.040381,0
1770720361.457590352,1.1.1.1,1.1.10.10,66,0.000049,0.040412,-0.040412,0
1770720361.864552195,1.1.10.10,1.1.2.1,66,0.000075,0.000026,0.000026,0
1770720361.908956014,1.1.2.1,1.1.10.10,66,0.000077,0.000002,0.000002,0
1770720362.415559601,1.1.10.10,1.1.1.1,66,0.000038,0.000039,-0.000039,0
1770720362.474363147,1.1.1.1,1.1.10.10,66,0.000080,0.000042,0.000042,0
1770720362.863992842,1.1.10.10,1.1.2.1,66,0.000039,0.000041,-0.000041,0
1770720362.933872665,1.1.2.1,1.1.10.10,66,0.000041,0.000001,0.000001,0
1770720363.354984280,1.1.1.1,1.1.10.10,66,0.000097,0.000056,0.000056,0
1770720363.355278665,1.1.10.10,1.1.1.1,66,0.000149,0.000052,0.000052,0
1770720363.405778724,1.1.1.1,1.1.10.10,66,0.040615,0.040467,0.040467,0
1770720363.457430184,1.1.10.10,1.1.1.1,66,0.042591,0.001976,0.001976,0
1770720363.466992782,1.1.1.1,1.1.10.10,66,0.000043,0.042548,-0.042548,0
1770720363.864301716,1.1.10.10,1.1.2.1,66,0.000054,0.000011,0.000011,0
1770720363.876053468,1.1.2.1,1.1.10.10,66,0.000079,0.000025,0.000025,0
1770720363.917701624,1.1.10.10,1.1.2.1,66,0.041413,0.041333,0.041333,0
1770720363.973751329,1.1.2.1,1.1.10.10,66,0.041243,0.000170,-0.000170,0
1770720364.415587067,1.1.10.10,1.1.1.1,66,0.000031,0.041212,-0.041212,0
1770720364.462973178,1.1.1.1,1.1.10.10,66,0.000057,0.000026,0.000026,0
1770720364.864466586,1.1.10.10,1.1.2.1,66,0.000146,0.000090,0.000090,0
1770720364.909735822,1.1.2.1,1.1.10.10,66,0.000051,0.000095,-0.000095,0
1770720365.416188207,1.1.10.10,1.1.1.1,66,0.000051,0.000001,-0.000001,0
1770720365.456834609,1.1.1.1,1.1.10.10,66,0.000042,0.000009,-0.000009,0
1770720365.865589374,1.1.10.10,1.1.2.1,66,0.000054,0.000012,0.000012,0
1770720365.911074878,1.1.2.1,1.1.10.10,66,0.000089,0.000036,0.000036,0
1770720366.416107207,1.1.10.10,1.1.1.1,66,0.000092,0.000003,0.000003,0
1770720366.461043732,1.1.1.1,1.1.10.10,66,0.000060,0.000033,-0.000033,0
1770720366.865154388,1.1.10.10,1.1.2.1,66,0.000097,0.000037,0.000037,0
1770720366.910365000,1.1.2.1,1.1.10.10,66,0.000045,0.000052,-0.000052,0
1770720367.416798766,1.1.10.10,1.1.1.1,66,0.000054,0.000009,0.000009,0
1770720367.456701942,1.1.1.1,1.1.10.10,66,0.000057,0.000003,0.000003,0
1770720367.865393948,1.1.10.10,1.1.2.1,66,0.000030,0.000027,-0.000027,0
1770720367.899268440,1.1.2.1,1.1.10.10,66,0.000056,0.000026,0.000026,0
1770720368.457678590,1.1.10.10,1.1.1.1,66,0.041409,0.041353,0.041353,0
1770720368.460556559,1.1.1.1,1.1.10.10,66,0.000050,0.041359,-0.041359,0
1770720368.902355399,1.1.10.10,1.1.2.1,72,0.036478,0.036428,0.036428,0
1770720368.902435106,1.1.2.1,1.1.10.10,66,0.000080,0.036398,-0.036398,0
1770720369.417124391,1.1.10.10,1.1.1.1,66,0.000160,0.000080,0.000080,0
1770720369.459133275,1.1.1.1,1.1.10.10,66,0.000042,0.000118,-0.000118,0
1770720369.907659895,1.1.10.10,1.1.2.1,66,0.040591,0.040550,0.040550,0
1770720369.910896877,1.1.2.1,1.1.10.10,66,0.000045,0.040546,-0.040546,0
1770720370.416994484,1.1.10.10,1.1.1.1,66,0.000098,0.000053,0.000053,0
1770720370.457959053,1.1.1.1,1.1.10.10,66,0.000062,0.000037,-0.000037,0
1770720370.867319794,1.1.10.10,1.1.2.1,66,0.000107,0.000045,0.000045,0
1770720370.907809790,1.1.2.1,1.1.10.10,66,0.000051,0.000056,-0.000056,0
1770720371.417866622,1.1.10.10,1.1.1.1,66,0.000052,0.000002,0.000002,0
1770720371.455256255,1.1.1.1,1.1.10.10,66,0.000040,0.000013,-0.000013,0
1770720371.867014886,1.1.10.10,1.1.2.1,66,0.000022,0.000018,-0.000018,0
1770720371.886470558,1.1.2.1,1.1.10.10,66,0.000073,0.000051,0.000051,0
1770720372.457656998,1.1.10.10,1.1.1.1,66,0.040484,0.040411,0.040411,0
1770720372.460037671,1.1.1.1,1.1.10.10,66,0.000040,0.040443,-0.040443,0
1770720372.906456832,1.1.10.10,1.1.2.1,72,0.039388,0.039347,0.039347,0
1770720372.906501274,1.1.2.1,1.1.10.10,66,0.000044,0.039343,-0.039343,0
1770720373.418540512,1.1.10.10,1.1.1.1,66,0.000125,0.000081,0.000081,0
1770720373.462966526,1.1.1.1,1.1.10.10,66,0.000044,0.000081,-0.000081,0
1770720373.908756864,1.1.10.10,1.1.2.1,66,0.040910,0.040866,0.040866,0
1770720373.909655926,1.1.2.1,1.1.10.10,66,0.000072,0.040838,-0.040838,0
1770720374.418958556,1.1.10.10,1.1.1.1,66,0.000058,0.000014,-0.000014,0
1770720374.459446645,1.1.1.1,1.1.10.10,66,0.000047,0.000012,-0.000012,0
1770720374.868415076,1.1.10.10,1.1.2.1,66,0.000073,0.000026,0.000026,0
1770720374.906172405,1.1.2.1,1.1.10.10,66,0.000043,0.000029,-0.000029,0
1770720375.418906696,1.1.10.10,1.1.1.1,66,0.000084,0.000041,0.000041,0
1770720375.458648295,1.1.1.1,1.1.10.10,66,0.000070,0.000014,-0.000014,0
1770720375.907852976,1.1.10.10,1.1.2.1,66,0.040470,0.040399,0.040399,0
1770720375.932507491,1.1.2.1,1.1.10.10,66,0.000119,0.040350,-0.040350,0
1770720376.457065957,1.1.10.10,1.1.1.1,72,0.037931,0.037811,0.037811,0
1770720376.457131982,1.1.1.1,1.1.10.10,66,0.000066,0.037865,-0.037865,0
1770720376.867675470,1.1.10.10,1.1.2.1,66,0.000024,0.000042,-0.000042,0
1770720376.910111838,1.1.2.1,1.1.10.10,66,0.000128,0.000103,0.000103,0
1770720377.355535601,1.1.1.1,1.1.10.10,66,0.000089,0.000039,-0.000039,0
1770720377.363453903,1.1.10.10,1.1.1.1,72,0.007638,0.007549,0.007549,0
1770720377.403759904,1.1.1.1,1.1.10.10,66,0.040306,0.032668,0.032668,0
1770720377.458713021,1.1.10.10,1.1.1.1,66,0.040413,0.000107,0.000107,0
1770720377.474044151,1.1.1.1,1.1.10.10,66,0.000091,0.040322,-0.040322,0
1770720377.867770176,1.1.10.10,1.1.2.1,66,0.000183,0.000092,0.000092,0
1770720377.876780531,1.1.2.1,1.1.10.10,66,0.000100,0.000083,-0.000083,0
1770720377.909934044,1.1.10.10,1.1.2.1,72,0.032739,0.032639,0.032639,0
1770720377.950755985,1.1.2.1,1.1.10.10,66,0.040822,0.008083,0.008083,0
1770720378.419255384,1.1.10.10,1.1.1.1,66,0.000072,0.040749,-0.040749,0
1770720378.517758147,1.1.1.1,1.1.10.10,66,0.000316,0.000244,0.000244,0
1770720378.909728764,1.1.10.10,1.1.2.1,66,0.041510,0.041194,0.041194,0
1770720378.911171787,1.1.2.1,1.1.10.10,66,0.000031,0.041479,-0.041479,0
1770720379.418967883,1.1.10.10,1.1.1.1,66,0.000031,0.000000,0.000000,0
1770720379.453830819,1.1.1.1,1.1.10.10,66,0.000048,0.000017,0.000017,0
1770720379.869245285,1.1.10.10,1.1.2.1,66,0.000029,0.000019,-0.000019,0
1770720379.915473339,1.1.2.1,1.1.10.10,66,0.000054,0.000025,0.000025,0
1770720380.459404082,1.1.10.10,1.1.1.1,72,0.039479,0.039425,0.039425,0
1770720380.459450373,1.1.1.1,1.1.10.10,66,0.000046,0.039433,-0.039433,0
1770720380.869306736,1.1.10.10,1.1.2.1,66,0.000090,0.000044,0.000044,0
1770720380.911780907,1.1.2.1,1.1.10.10,66,0.000056,0.000034,-0.000034,0
1770720381.455224517,1.1.10.10,1.1.1.1,72,0.035954,0.035898,0.035898,0
1770720381.455268509,1.1.1.1,1.1.10.10,66,0.000044,0.035910,-0.035910,0
1770720381.869803504,1.1.10.10,1.1.2.1,66,0.000048,0.000004,0.000004,0
1770720381.918147405,1.1.2.1,1.1.10.10,66,0.000043,0.000005,-0.000005,0
1770720382.461109641,1.1.10.10,1.1.1.1,72,0.040583,0.040540,0.040540,0
1770720382.461152983,1.1.1.1,1.1.10.10,66,0.000043,0.040540,-0.040540,0
1770720382.870188965,1.1.10.10,1.1.2.1,66,0.000029,0.000015,-0.000015,0
1770720382.915760854,1.1.2.1,1.1.10.10,66,0.000043,0.000014,0.000014,0
1770720383.459996981,1.1.10.10,1.1.1.1,72,0.039518,0.039476,0.039476,0
1770720383.460063303,1.1.1.1,1.1.10.10,66,0.000066,0.039452,-0.039452,0
1770720383.872074440,1.1.10.10,1.1.2.1,66,0.000085,0.000019,0.000019,0
1770720383.915233845,1.1.2.1,1.1.10.10,66,0.000084,0.000002,-0.000002,0
1770720384.461703408,1.1.10.10,1.1.1.1,66,0.040141,0.040057,0.040057,0
1770720384.463561749,1.1.1.1,1.1.10.10,66,0.000050,0.040091,-0.040091,0
1770720384.872104629,1.1.10.10,1.1.2.1,66,0.000053,0.000003,0.000003,0
1770720384.906277582,1.1.2.1,1.1.10.10,66,0.000050,0.000003,-0.000003,0
1770720385.421325509,1.1.10.10,1.1.1.1,66,0.000042,0.000008,-0.000008,0
1770720385.461365227,1.1.1.1,1.1.10.10,66,0.000048,0.000006,0.000006,0
1770720385.902538970,1.1.10.10,1.1.2.1,72,0.029819,0.029770,0.029770,0
1770720385.902601680,1.1.2.1,1.1.10.10,66,0.000063,0.029756,-0.029756,0
1770720386.355826364,1.1.1.1,1.1.10.10,66,0.000071,0.000008,0.000008,0
1770720386.355920722,1.1.10.10,1.1.1.1,66,0.000013,0.000058,-0.000058,0
1770720386.404695035,1.1.1.1,1.1.10.10,66,0.041032,0.041018,0.041018,0
1770720386.463866744,1.1.10.10,1.1.1.1,66,0.041883,0.000852,0.000852,0
1770720386.484009390,1.1.1.1,1.1.10.10,66,0.000074,0.041809,-0.041809,0
1770720386.877572489,1.1.10.10,1.1.2.1,81,0.004547,0.004473,0.004473,0
1770720386.877685012,1.1.2.1,1.1.10.10,66,0.000113,0.004435,-0.004435,0
1770720386.918223799,1.1.10.10,1.1.2.1,72,0.039908,0.039795,0.039795,0
1770720386.958756536,1.1.2.1,1.1.10.10,66,0.040533,0.000625,0.000625,0
1770720387.422280969,1.1.10.10,1.1.1.1,66,0.000037,0.040496,-0.040496,0
1770720387.495530982,1.1.1.1,1.1.10.10,66,0.000097,0.000060,0.000060,0
